ShipmentID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N,Customer_id,Delivery_start,Delivery_end
1,D,Flight,4,2,177,low,F,44,1233,1,403,2022-05-18,2022-06-12
2,F,Flight,4,5,216,low,M,59,3088,1,430,2022-10-17,2022-11-07
3,A,Flight,2,2,183,low,M,48,3374,1,34,2022-10-31,2022-12-03
4,B,Flight,3,3,176,medium,M,10,1177,1,230,2022-11-16,2022-12-18
5,C,Flight,2,2,184,medium,F,46,2484,1,356,2022-02-20,2022-04-01
6,F,Flight,3,1,162,medium,F,12,1417,1,185,2022-07-20,2022-08-14
7,D,Flight,3,4,250,low,F,3,2371,1,113,2022-10-28,2022-11-09
8,F,Flight,4,1,233,low,F,48,2804,1,257,2022-11-04,2022-11-28
9,A,Flight,3,4,150,low,F,11,1861,1,73,2022-04-01,2022-04-24
10,B,Flight,3,2,164,medium,F,29,1187,1,137,2022-10-21,2022-11-15
11,C,Flight,3,4,189,medium,M,12,2888,1,219,2022-07-11,2022-07-17
12,F,Flight,4,5,232,medium,F,32,3253,1,220,2022-06-09,2022-06-15
13,D,Flight,3,5,198,medium,F,1,3667,1,398,2022-10-20,2022-10-21
14,F,Flight,4,4,275,high,M,29,2602,1,250,2022-08-26,2022-10-07
15,A,Flight,4,3,152,low,M,43,1009,1,20,2022-07-02,2022-08-14
16,B,Flight,4,3,227,low,F,45,2707,1,137,2022-01-31,2022-03-12
17,C,Flight,3,4,143,medium,F,6,1194,1,99,2022-10-31,2022-11-30
18,F,Ship,5,5,227,medium,M,36,3952,1,229,2022-09-22,2022-09-25
19,D,Ship,5,5,239,high,M,18,2495,1,452,2022-05-18,2022-06-06
20,F,Ship,4,5,145,medium,M,45,1059,1,483,2022-02-13,2022-02-24
21,A,Ship,3,3,161,medium,F,38,1521,1,70,2022-10-08,2022-11-07
22,B,Ship,3,1,232,medium,F,51,2899,1,1,2022-01-22,2022-02-03
23,C,Ship,2,5,156,low,M,2,1750,1,298,2022-09-24,2022-10-12
24,F,Ship,4,3,211,high,M,12,3922,1,177,2022-04-03,2022-05-03
25,D,Ship,4,5,251,medium,F,28,3561,1,310,2022-02-24,2022-02-25
26,F,Ship,3,1,225,low,M,29,3496,1,12,2022-03-12,2022-04-04
27,A,Ship,4,1,172,high,F,24,1066,1,261,2022-12-06,2022-12-25
28,B,Ship,5,1,162,medium,M,31,1435,1,81,2022-07-09,2022-07-18
29,C,Ship,2,3,234,low,M,44,3134,1,93,2022-03-28,2022-04-11
30,F,Ship,5,4,183,low,F,36,3819,1,299,2022-05-03,2022-05-28
31,D,Ship,3,4,266,medium,F,38,2741,1,494,2022-12-06,2023-01-03
32,F,Ship,5,3,257,low,F,61,3341,1,307,2022-07-13,2022-07-26
33,A,Ship,3,1,223,low,F,22,3795,1,89,2022-09-27,2022-10-23
34,B,Ship,4,2,234,medium,M,4,3261,1,260,2022-06-25,2022-07-15
35,C,Ship,4,2,227,medium,F,22,2460,1,76,2022-02-01,2022-02-06
36,F,Ship,5,4,149,medium,F,44,1811,1,329,2022-09-29,2022-10-13
37,D,Ship,3,5,137,high,F,62,1477,1,5,2022-08-06,2022-08-19
38,F,Ship,2,4,181,medium,F,16,3605,1,453,2022-03-15,2022-04-15
39,A,Ship,5,1,215,low,F,56,3905,1,176,2022-07-05,2022-07-06
40,B,Ship,4,2,269,low,F,45,2383,1,139,2022-11-23,2022-11-24
41,C,Ship,5,1,227,low,M,15,3798,1,249,2022-08-12,2022-09-06
42,F,Ship,5,5,139,medium,M,61,1265,1,439,2022-03-22,2022-05-02
43,D,Ship,3,5,137,medium,M,38,1647,1,422,2022-11-01,2022-11-18
44,F,Ship,3,1,174,low,M,44,1556,1,48,2022-11-28,2022-12-19
45,A,Ship,3,1,151,low,M,29,1328,1,249,2022-05-30,2022-06-21
46,B,Ship,5,1,210,low,F,9,2944,1,250,2022-01-27,2022-02-15
47,C,Ship,3,4,169,medium,F,32,1245,1,486,2022-03-11,2022-03-27
48,F,Ship,5,1,160,low,M,32,1576,1,27,2022-03-06,2022-03-16
49,D,Ship,5,4,190,medium,M,9,3753,1,236,2022-10-05,2022-11-01
50,F,Ship,5,3,216,low,F,40,2146,1,119,2022-02-17,2022-02-28
51,A,Ship,4,1,183,low,M,37,2042,1,129,2022-10-11,2022-11-22
52,B,Ship,4,4,141,low,M,22,1735,1,461,2022-02-02,2022-02-12
53,C,Ship,4,3,165,low,F,44,1320,1,215,2022-04-09,2022-05-14
54,F,Ship,2,1,170,low,M,41,1128,1,138,2022-07-15,2022-08-12
55,D,Ship,4,3,203,high,M,12,3539,1,299,2022-07-20,2022-07-22
56,F,Ship,2,5,246,low,M,46,2437,1,477,2022-09-03,2022-09-27
57,A,Ship,3,3,238,low,F,61,3096,1,80,2022-05-07,2022-06-05
58,B,Ship,3,3,193,medium,F,29,3453,1,205,2022-03-03,2022-03-05
59,C,Ship,5,5,141,high,M,41,1367,1,263,2022-08-24,2022-09-09
60,F,Ship,4,1,150,high,F,17,1923,1,229,2022-01-19,2022-02-10
61,D,Ship,3,1,221,low,F,64,2794,1,422,2022-08-19,2022-09-04
62,F,Ship,3,3,179,medium,M,52,1158,1,291,2022-06-03,2022-07-16
63,A,Ship,5,1,105,medium,M,62,1292,1,448,2022-11-08,2022-11-09
64,B,Ship,3,1,177,medium,M,61,1880,1,350,2022-03-30,2022-04-11
65,C,Ship,4,5,261,high,M,49,3045,1,126,2022-05-14,2022-06-08
66,F,Ship,3,2,202,low,M,49,2881,1,14,2022-01-01,2022-01-07
67,D,Ship,3,2,109,medium,F,15,1710,1,164,2022-07-27,2022-08-24
68,F,Ship,3,3,158,low,F,6,1878,1,274,2022-07-30,2022-09-06
69,A,Ship,4,2,231,medium,F,6,2512,1,403,2022-11-25,2022-11-28
70,B,Ship,3,5,206,medium,M,39,2929,1,86,2022-07-27,2022-08-30
71,C,Ship,5,1,187,high,M,14,3849,1,253,2022-03-03,2022-03-10
72,F,Ship,5,5,230,low,F,2,2229,1,308,2022-08-30,2022-09-01
73,D,Ship,5,5,232,medium,F,33,2998,1,467,2022-12-26,2023-01-10
74,F,Ship,4,5,215,medium,F,21,3984,1,466,2022-09-20,2022-09-24
75,A,Ship,6,1,238,low,F,13,2442,1,246,2022-02-21,2022-03-27
76,B,Ship,4,1,266,low,F,23,3775,1,385,2022-10-13,2022-10-21
77,C,Ship,2,3,158,medium,F,36,1788,1,277,2022-10-18,2022-10-24
78,F,Ship,3,3,113,low,F,43,1518,1,315,2022-11-26,2023-01-01
79,D,Ship,3,4,223,low,M,18,3959,1,6,2022-11-30,2023-01-05
80,F,Ship,3,5,257,medium,F,56,3711,1,293,2022-01-03,2022-01-22
81,A,Ship,3,4,180,medium,F,49,1942,1,126,2022-09-13,2022-10-26
82,B,Ship,2,5,132,low,M,18,1759,1,247,2022-09-15,2022-09-19
83,C,Ship,4,4,217,high,F,26,2875,1,79,2022-06-04,2022-06-16
84,F,Ship,5,5,162,high,F,31,1364,1,371,2022-12-26,2023-01-13
85,D,Ship,4,5,197,medium,F,40,2710,1,256,2022-08-28,2022-09-09
86,F,Ship,3,4,197,medium,M,13,2148,1,112,2022-03-15,2022-03-31
87,A,Ship,4,1,185,low,M,44,2910,1,108,2022-05-06,2022-05-09
88,B,Ship,6,2,278,medium,F,3,2974,1,334,2022-11-13,2022-11-17
89,C,Ship,3,3,229,low,M,49,2339,1,186,2022-12-02,2022-12-17
90,F,Ship,4,1,186,medium,F,57,3880,1,122,2022-07-20,2022-08-15
91,D,Ship,5,3,174,high,F,41,1085,1,129,2022-09-17,2022-10-09
92,F,Ship,5,5,286,low,F,18,3163,1,316,2022-05-05,2022-06-09
